"NT_RKO.rank"	"NT_COL.rank"	"AraC.rank"	"HU.rank"	"Aph.rank"
"AKR1E2"	1284	1472	303	862	385
"AKR7A2"	1436	626	836	369	1383
"AKR7A3"	1185	252	726	375	1161
"AKT1"	1491	1112	1476	912	729
"AKT1S1"	1351	1154	602	1438	1391
"AKT2"	5	110	7	1102	39
"AKT3"	985	274	386	348	555
"AKTIP"	1432	248	1219	808	634
"ALAD"	71	1138	983	1318	122
"ALAS1"	881	808	229	427	618
"ALAS2"	23	1291	87	1490	40
"ALB"	251	444	795	157	680
"ALCAM"	296	801	840	302	971
"ALDH16A1"	735	491	480	848	853
"ALDH18A1"	677	416	381	932	878
"ALDH1A1"	1039	763	599	588	897
"ALDH1A2"	196	680	119	296	888
"ALDH1A3"	301	644	293	1460	32
"ALDH1B1"	35	469	95	670	316
"ALDH1L1"	1332	1221	792	668	894
"ALDH1L2"	295	840	156	652	69
"ALDH2"	990	1274	1091	361	1151
"ALDH3A1"	484	1019	928	324	606
"ALDH3A2"	1107	1419	834	1015	969
"ALDH3B2"	562	283	233	1393	270
"ALDH4A1"	130	217	306	1068	689
"ALDH5A1"	795	481	298	148	90
"ALDH6A1"	61	488	646	1371	1308
"ALDH7A1"	696	377	483	770	935
"ALDH8A1"	205	1452	1029	1162	183
"ALDH9A1"	403	174	1143	626	1137
"ALDOA"	977	107	566	1372	773
"ALDOB"	607	483	1216	1497	1443
"ALDOC"	506	1124	247	125	60
"ALG1"	681	500	1117	839	574
"ALG10B"	759	21	1121	671	64
"ALG11"	193	1342	767	317	633
"ALG12"	298	727	675	534	533
"ALG13"	900	911	1454	609	1143
"ALG14"	1462	504	545	874	615
"ALG2"	994	720	1407	1258	502
"ALG3"	524	273	829	1458	1271
"ALG5"	72	844	51	812	152
"ALG6"	937	1205	606	410	1297
"ALG8"	1106	1056	1333	937	1464
"ALG9"	552	259	1315	27	1332
"ALK"	731	429	1078	1335	563
"ALKBH1"	1111	1234	1151	446	224
"ALKBH2"	1066	63	708	1495	1376
"ALKBH3"	882	525	1190	1221	662
"ALKBH4"	971	123	782	904	1349
"ALKBH5"	954	1489	1039	1363	1460
"ALKBH6"	646	1441	1019	1374	731
"ALKBH7"	386	1176	1492	259	1219
"ALKBH8"	854	534	168	1148	62
"ALLC"	462	821	569	489	204
"ALMS1"	1424	138	539	336	1402
"ALOX12"	596	991	383	1054	257
"ALOX12B"	1000	297	388	344	447
"ALOX15"	910	1334	1213	619	1412
"ALOX15B"	949	68	658	1223	1015
"ALOX5"	70	136	1163	535	120
"ALOX5AP"	789	1165	1018	267	950
"ALOXE3"	62	878	1453	751	804
"ALPI"	1397	54	340	28	813
"ALPK1"	288	460	1306	840	1201
"ALPK2"	212	304	604	806	43
"ALPK3"	476	97	1394	540	197
"ALPL"	597	310	1170	365	631
"ALPP"	245	1392	378	972	716
"ALPPL2"	944	477	1100	1400	157
"ALS2"	1382	270	249	1462	629
"ALS2CL"	847	149	660	110	1426
"ALS2CR11"	151	314	1327	1491	1019
"ALS2CR12"	392	24	665	184	314
"ALX1"	743	360	476	727	328
"ALX3"	310	1071	1310	1379	901
"ALX4"	206	329	1500	53	116
"ALYREF"	869	1286	1423	1280	759
"AMACR"	105	225	1176	1092	648
"AMBN"	1051	286	1251	964	1035
"AMBP"	406	783	272	481	566
"AMBRA1"	102	223	164	146	48
"AMD1"	123	1104	593	592	922
"AMDHD1"	918	486	637	178	1243
"AMDHD2"	337	319	77	612	12
"AMELX"	652	1122	1374	601	1060
"AMELY"	1435	1455	784	425	670
"AMER1"	1330	362	1491	1296	842
"AMER2"	1152	1366	402	93	1068
"AMER3"	114	850	750	1317	1361
"AMFR"	490	885	105	852	170
"AMH"	216	758	1436	1041	1407
"AMHR2"	1213	631	1335	1124	496
"AMICA1"	793	16	874	663	595
"AMIGO1"	345	814	129	1031	1087
"AMIGO2"	923	1111	526	649	643
"AMMECR1"	52	92	1351	927	1306
"AMMECR1L"	877	859	1263	844	495
"AMN"	203	838	13	524	20
"AMN1"	279	677	511	864	109
"AMOT"	1327	1195	1277	1150	817
"AMOTL1"	1253	1059	484	744	1084
"AMOTL2"	132	163	1417	1467	1193
"AMPD1"	338	556	324	849	808
"AMPD2"	698	1219	758	1307	797
"AMPD3"	856	1233	1291	1474	1133
"AMPH"	1043	1237	1390	1112	868
"AMT"	1347	109	1343	255	1473
"AMTN"	101	805	552	835	14
"AMZ1"	1220	726	1425	1181	480
"AMZ2"	172	785	1009	67	1229
"ANAPC1"	284	1375	422	174	178
"ANAPC10"	899	652	517	1056	1475
"ANAPC11"	364	1156	531	329	30
"ANAPC13"	109	549	685	714	527
"ANAPC15"	1388	1031	310	1434	927
"ANAPC16"	713	1017	201	137	510
"ANAPC2"	544	366	970	943	1300
"ANAPC4"	1322	622	93	952	80
"ANAPC5"	714	1060	1189	936	1348
"ANAPC7"	1109	1459	439	1312	1022
"ANG"	182	1162	205	227	1274
"ANGEL1"	79	823	816	942	74
"ANGEL2"	1389	837	621	471	921
"ANGPT1"	366	507	1043	1214	782
"ANGPT2"	427	115	661	75	1321
"ANGPT4"	618	538	226	725	121
"ANGPTL1"	1116	952	535	1391	344
"ANGPTL2"	136	128	24	499	4
"ANGPTL3"	1443	1225	521	1392	577
"ANGPTL4"	360	357	890	745	964
"ANGPTL5"	434	813	391	898	581
"ANGPTL6"	334	393	1032	1061	1024
"ANGPTL7"	1006	962	1471	1195	23
"ANHX"	192	547	558	804	1072
"ANK1"	585	1100	1275	858	212
"ANK2"	812	879	491	656	1175
"ANK3"	995	1022	863	946	182
"ANKAR"	93	803	941	712	200
"ANKDD1A"	1262	322	97	1484	196
"ANKDD1B"	1178	173	1253	833	1183
"ANKEF1"	738	419	1307	830	1423
"ANKFN1"	74	162	528	1488	1430
"ANKFY1"	1370	871	454	458	359
"ANKH"	1271	170	724	1194	412
"ANKHD1"	1420	1347	1278	1470	1298
"ANKHD1-EIF4EBP3"	84	1132	1186	1324	436
"ANKIB1"	342	1013	285	1333	1046
"ANKK1"	1428	1443	1045	787	1053
"ANKLE1"	475	493	1071	1429	421
"ANKLE2"	587	1068	1183	1178	1385
"ANKMY1"	1018	1479	808	974	966
"ANKMY2"	17	701	673	655	1434
"ANKRA2"	1048	1283	358	921	312
"ANKRD1"	1216	1149	1421	16	466
"ANKRD10"	1293	243	1295	933	1497
"ANKRD11"	1474	106	479	1197	995
"ANKRD12"	1160	971	1243	1247	916
"ANKRD13A"	1159	1411	849	1295	29
"ANKRD13B"	397	830	308	423	1114
"ANKRD13C"	691	817	534	539	1425
"ANKRD13D"	1252	224	1042	1239	1006
"ANKRD16"	782	947	1368	1425	594
"ANKRD17"	584	32	1001	258	632
"ANKRD18A"	1344	786	1457	1277	1444
"ANKRD18B"	274	1217	184	681	1168
"ANKRD2"	761	289	1434	788	807
"ANKRD22"	565	55	59	341	1162
"ANKRD23"	744	238	1203	466	1468
"ANKRD24"	299	1157	117	741	1487
"ANKRD26"	50	1053	751	900	1136
"ANKRD27"	864	401	617	402	309
"ANKRD28"	1334	1199	214	334	22
"ANKRD29"	810	1318	870	1367	620
"ANKRD30A"	720	1171	281	201	962
"ANKRD30B"	901	19	1347	1399	1104
"ANKRD30BL"	1049	499	161	179	1261
"ANKRD31"	160	1065	793	1203	201
"ANKRD32"	1190	334	486	807	1184
"ANKRD33"	775	647	559	820	863
"ANKRD33B"	1217	960	877	126	491
"ANKRD34A"	769	869	827	370	578
"ANKRD34B"	707	250	883	694	1441
"ANKRD34C"	621	1020	1313	1128	340
"ANKRD35"	634	152	1026	536	883
"ANKRD36"	711	447	475	468	598
"ANKRD36C"	1367	831	745	443	704
"ANKRD37"	1089	619	1013	1082	1166
"ANKRD39"	1146	452	347	440	221
"ANKRD40"	304	673	582	695	1351
"ANKRD42"	1063	851	269	624	522
"ANKRD44"	56	13	899	1173	1447
"ANKRD45"	1343	1301	873	1174	1150
"ANKRD46"	616	1107	1386	1167	1058
"ANKRD49"	927	951	455	1370	984
"ANKRD50"	1036	839	1207	1063	1457
"ANKRD52"	95	903	640	743	471
"ANKRD53"	1263	343	1494	1133	1397
"ANKRD54"	1359	1077	240	456	38
"ANKRD55"	1384	798	457	215	129
"ANKRD6"	745	1137	803	1360	1122
"ANKRD61"	1095	610	1296	99	1405
"ANKRD62"	580	1058	717	1364	757
"ANKRD63"	1059	1011	697	404	1286
"ANKRD65"	831	382	1336	1226	695
