"NT_RKO.rank"	"NT_COL.rank"	"AraC.rank"	"HU.rank"	"Aph.rank"
"BCL2L12"	883	935	1276	947	305
"BCL2L13"	1205	480	788	859	755
"BCL2L14"	448	1349	1083	327	556
"BCL2L15"	378	606	601	124	275
"BCL2L2"	318	376	1003	768	472
"BCL3"	710	997	1152	814	874
"BCL6"	1350	26	1344	59	106
"BCL6B"	228	604	1111	1136	1458
"BCL7A"	602	1000	589	422	1247
"BCL7B"	144	1024	1332	207	415
"BCL7C"	117	1378	1398	587	1344
"BCL9"	806	435	442	239	537
"BCL9L"	909	1038	166	338	1373
"BCLAF1"	1302	977	961	1310	1287
"BCMO1"	281	899	573	360	1396
"BCO2"	1061	206	469	1268	392
"BCOR"	502	724	256	135	450
"BCORL1"	329	664	68	545	905
"BCR"	264	684	1113	1199	281
"BCS1L"	1140	40	916	419	1141
"BDH1"	1333	657	504	297	552
"BDH2"	1088	1397	1282	1255	1180
"BDKRB1"	1345	1261	1440	705	717
"BDKRB2"	1098	509	1230	582	366
"BDNF"	477	1075	703	1411	362
"BDP1"	348	75	478	475	550
"BEAN1"	164	1256	447	211	1419
"BECN1"	1153	246	1250	335	856
"BEGAIN"	486	1139	825	1243	352
"BEND2"	1426	402	1210	738	1062
"BEND3"	746	1394	1125	617	822
"BEND4"	668	1117	151	917	302
"BEND5"	148	1030	283	1446	1491
"BEND6"	1166	129	330	648	308
"BEND7"	913	940	503	1396	1275
"BEST1"	437	117	557	1231	819
"BEST2"	772	1113	253	1311	738
"BEST3"	748	515	721	19	1014
"BEST4"	1143	510	1271	870	187
"BET1"	1085	350	814	662	764
"BET1L"	536	17	1129	724	628
"BEX1"	1075	691	374	68	296
"BEX2"	694	1497	1180	1012	985
"BEX4"	1254	1202	1399	590	481
"BEX5"	624	67	92	1006	1190
"BFAR"	33	1166	513	306	752
"BFSP1"	221	381	1145	325	585
"BFSP2"	786	417	1463	1245	1466
"BGLAP"	959	216	234	358	250
"BGN"	166	531	1461	113	409
"BHLHA15"	405	639	1365	132	177
"BHLHA9"	391	482	515	1275	1272
"BHLHB9"	1198	35	189	323	710
"BHLHE22"	122	423	1011	543	1277
"BHLHE23"	794	387	1384	1248	787
"BHLHE40"	1339	355	230	193	248
"BHLHE41"	22	1109	1353	980	692
"BHMT"	988	598	1420	1300	332
"BHMT2"	66	849	191	424	118
"BICC1"	468	1054	1148	450	1377
"BICD1"	125	204	172	930	811
"BICD2"	1197	1007	1444	606	403
"BID"	934	153	757	37	509
"BIK"	47	1208	40	1471	46
"BIN1"	665	1304	927	322	445
"BIN2"	1310	39	320	14	79
"BIN3"	739	1448	17	166	1027
"BIRC2"	1446	513	307	923	823
"BIRC3"	1209	953	423	650	456
"BIRC5"	996	332	742	747	737
"BIRC6"	209	1431	615	926	1260
"BIRC7"	921	58	774	1288	338
"BIRC8"	474	161	421	1017	251
"BIVM"	799	1379	444	234	1178
"BLACE"	1069	597	519	384	176
"BLCAP"	1141	1321	1429	91	1074
"BLID"	543	662	684	868	666
"BLK"	372	146	428	332	396
"BLM"	377	415	297	632	1002
"BLMH"	129	184	389	925	430
"BLNK"	623	230	481	417	139
"BLOC1S1"	215	1046	1341	1410	713
"BLOC1S2"	822	365	474	642	34
"BLOC1S3"	1245	1133	1177	1009	642
"BLOC1S4"	113	1101	975	114	938
"BLOC1S5"	96	1381	1432	122	1226
"BLOC1S6"	1005	472	1397	502	1065
"BLVRA"	673	1395	235	189	1207
"BLVRB"	608	453	1441	1132	593
"BLZF1"	500	848	610	20	801
"BMF"	850	1315	1067	570	435
"BMI1"	1199	1416	412	513	562
"BMP1"	493	277	1086	996	240
"BMP10"	1077	800	1053	792	712
"BMP15"	803	1245	267	773	1439
"BMP2"	176	1425	103	300	18
"BMP2K"	829	1408	811	1420	798
"BMP3"	1073	1135	1359	623	547
"BMP4"	368	445	1484	510	180
"BMP5"	81	981	170	50	1029
"BMP6"	73	1210	1345	1454	1000
